,ChannelID,subs,nvideos,views,Category,Language,Type
Y2021,Y2021,133289,70,154199,food,English,NGO
Y2022,Y2022,91157,73,110814,news,Japanese,Corperate
Y2023,Y2023,76768,68,112170,news,Chinese,Individual
Y2024,Y2024,107446,69,47353,news,English,NGO
Y2025,Y2025,94632,11,11591,news,Japanese,Corperate
Y2026,Y2026,147031,45,211134,music,English,Goverment
Y2027,Y2027,153038,20,112122,food,English,Individual
Y2028,Y2028,156102,87,180406,gaming,Japanese,NGO
Y2029,Y2029,82465,78,17077,food,English,Goverment
Y2030,Y2030,117720,74,87845,music,English,Corperate
Y2031,Y2031,100796,61,79997,news,English,Individual
Y2032,Y2032,120429,40,124772,music,English,Goverment
Y2033,Y2033,185660,86,164825,food,Japanese,Individual
Y2034,Y2034,71737,63,60516,travel,Chinese,Individual
Y2035,Y2035,111671,4,143192,gaming,Franch,Goverment
Y2036,Y2036,20313,73,29139,food,Chinese,Goverment
Y2037,Y2037,26767,24,19272,travel,English,Individual
Y2038,Y2038,112011,35,131908,music,English,Corperate
Y2039,Y2039,51195,82,72173,travel,Chinese,Corperate
Y2040,Y2040,110034,80,93740,food,English,Goverment
Y2041,Y2041,93049,26,718,gaming,English,Individual
Y2042,Y2042,11801,8,15223,news,English,NGO
Y2043,Y2043,121982,74,33948,gaming,Japanese,Individual
Y2044,Y2044,120337,97,79309,music,Japanese,Individual
Y2045,Y2045,117756,37,141554,travel,English,NGO
Y2046,Y2046,16725,55,6456,gaming,Japanese,Individual
Y2047,Y2047,64837,66,76313,gaming,Chinese,Goverment
Y2048,Y2048,119907,60,143773,travel,English,NGO
Y2049,Y2049,61233,48,67027,food,Spanish,Goverment
Y2050,Y2050,100058,14,5562,food,English,NGO
Y2051,Y2051,63531,16,42745,news,English,NGO
Y2052,Y2052,97301,84,34077,news,English,NGO
Y2053,Y2053,140182,11,144726,gaming,English,Individual
Y2054,Y2054,131999,43,162299,travel,English,Goverment
Y2055,Y2055,71230,48,977,news,Franch,Individual
Y2056,Y2056,123775,50,52048,food,Franch,NGO
Y2057,Y2057,122418,7,131200,news,English,NGO
Y2058,Y2058,102748,51,152919,news,Russia,Corperate
Y2059,Y2059,142058,41,35123,news,Spanish,NGO
Y2060,Y2060,101739,22,70117,music,Spanish,Individual
Y2061,Y2061,128282,71,63382,music,English,NGO
Y2062,Y2062,61321,20,74283,travel,English,Individual
Y2063,Y2063,8624,46,8201,food,English,Corperate
Y2064,Y2064,29336,5,34400,gaming,English,NGO
Y2065,Y2065,70792,98,49794,news,Franch,Individual
Y2066,Y2066,111846,9,62301,travel,Russia,NGO
Y2067,Y2067,116120,8,170613,travel,English,NGO
Y2068,Y2068,79621,47,4406,news,English,Individual
Y2069,Y2069,116451,31,28405,travel,Chinese,Individual
Y2070,Y2070,154508,28,2030,news,English,Individual
Y2071,Y2071,43494,52,50869,gaming,English,Corperate
Y2072,Y2072,103543,87,72264,gaming,English,Corperate
Y2073,Y2073,123759,67,129045,music,Franch,NGO
Y2074,Y2074,168104,2,148013,news,English,NGO
Y2075,Y2075,155157,76,29425,food,English,Goverment
Y2076,Y2076,202324,8,7490,travel,English,NGO
Y2077,Y2077,20387,65,5392,news,Japanese,NGO
Y2078,Y2078,154298,77,105195,music,Franch,Individual
Y2079,Y2079,120670,61,35691,gaming,English,Corperate
Y2080,Y2080,89318,75,58509,music,English,Individual
Y2081,Y2081,81245,54,110672,food,Russia,Goverment
Y2082,Y2082,161087,45,148316,food,English,Individual
Y2083,Y2083,145748,11,28220,travel,English,Individual
Y2084,Y2084,98045,41,27922,travel,Franch,NGO
Y2085,Y2085,195586,80,60986,gaming,English,NGO
Y2086,Y2086,139226,97,202915,news,English,Individual
Y2087,Y2087,56439,73,60243,news,English,Corperate
Y2088,Y2088,69166,53,45926,news,English,Individual
Y2089,Y2089,123679,30,179532,gaming,Russia,Individual
Y2090,Y2090,48746,33,5012,news,English,Individual
Y2091,Y2091,74694,28,97923,music,English,Corperate
Y2092,Y2092,141313,76,56632,news,English,NGO
Y2093,Y2093,85303,30,65515,news,English,NGO
Y2094,Y2094,175272,33,211614,travel,English,Individual
Y2095,Y2095,82194,8,120570,travel,English,Individual
Y2096,Y2096,98098,88,32743,music,Spanish,Individual
Y2097,Y2097,64979,43,2880,travel,Russia,Goverment
Y2098,Y2098,87806,85,131734,travel,English,Individual
Y2099,Y2099,1,49,0,travel,English,Individual
Y2100,Y2100,121542,99,114781,news,English,Individual
Y2101,Y2101,47570,55,45495,travel,English,Individual
Y2102,Y2102,95207,74,36632,music,Franch,Individual
Y2103,Y2103,117403,92,115495,news,Japanese,NGO
Y2104,Y2104,172698,26,251106,travel,Franch,Corperate
Y2105,Y2105,64245,75,64964,travel,Spanish,Individual
Y2106,Y2106,86983,35,39148,news,Japanese,NGO
Y2107,Y2107,131389,69,190644,food,English,NGO
Y2108,Y2108,89749,47,12731,news,English,NGO
Y2109,Y2109,176537,55,203640,food,Russia,Individual
Y2110,Y2110,33929,48,41057,travel,Franch,NGO
Y2111,Y2111,108862,18,114071,gaming,Russia,Corperate
Y2112,Y2112,114995,37,55854,food,Franch,NGO
Y2113,Y2113,95321,2,94909,news,English,Individual
Y2114,Y2114,45867,71,60975,food,Japanese,NGO
Y2115,Y2115,152403,51,2646,food,Russia,Individual
Y2116,Y2116,35885,4,23653,gaming,English,NGO
Y2117,Y2117,80065,57,46288,gaming,English,NGO
Y2118,Y2118,118476,8,154598,food,Chinese,NGO
Y2119,Y2119,82694,65,86914,news,English,Individual
Y2120,Y2120,116576,61,3861,travel,Spanish,Individual
Y2121,Y2121,86112,68,82930,music,English,Individual
Y2122,Y2122,144818,20,109015,music,English,NGO
Y2123,Y2123,66498,5,30396,news,English,Individual
Y2124,Y2124,216143,56,102843,travel,Chinese,NGO
Y2125,Y2125,150674,43,67279,travel,English,Corperate
Y2126,Y2126,7095,70,246,gaming,Russia,Individual
Y2127,Y2127,148189,19,13082,gaming,English,Individual
Y2128,Y2128,141843,78,5481,gaming,Spanish,Goverment
Y2129,Y2129,68396,94,11999,gaming,Franch,Individual
Y2130,Y2130,108058,19,54911,news,Russia,Individual
Y2131,Y2131,116913,88,137397,travel,English,NGO
Y2132,Y2132,106596,8,6567,food,English,Goverment
Y2133,Y2133,92486,39,26691,food,English,Individual
Y2134,Y2134,72425,90,9626,music,English,Individual
Y2135,Y2135,100802,1,26648,travel,English,Individual
Y2136,Y2136,115492,97,114284,food,English,NGO
Y2137,Y2137,79149,67,88579,food,Franch,Goverment
Y2138,Y2138,42054,34,28841,food,English,Individual
Y2139,Y2139,149394,2,92880,news,Spanish,Goverment
Y2140,Y2140,119271,36,51136,food,English,NGO
Y2141,Y2141,134365,44,36868,food,Spanish,NGO
Y2142,Y2142,84453,89,47642,news,Russia,Individual
Y2143,Y2143,125923,88,124168,gaming,English,Individual
Y2144,Y2144,64651,59,58010,travel,English,Corperate
Y2145,Y2145,123807,21,89944,gaming,Russia,NGO
Y2146,Y2146,73474,86,66778,travel,Spanish,Individual
Y2147,Y2147,164717,42,145538,food,English,NGO
Y2148,Y2148,98142,95,20197,food,English,Goverment
Y2149,Y2149,62428,50,47649,news,English,Corperate
Y2150,Y2150,138200,12,89737,food,English,Corperate
Y2151,Y2151,64448,74,86238,music,English,Corperate
Y2152,Y2152,91973,89,49214,gaming,Franch,Corperate
Y2153,Y2153,98909,87,2763,music,Russia,NGO
Y2154,Y2154,39645,97,41009,gaming,Russia,NGO
Y2155,Y2155,170597,98,203227,music,English,Goverment
Y2156,Y2156,108862,17,21431,gaming,Chinese,Goverment
Y2157,Y2157,141706,18,49415,news,Russia,NGO
Y2158,Y2158,1,93,945,news,English,Goverment
Y2159,Y2159,92688,90,71639,gaming,English,Individual
Y2160,Y2160,66984,16,35983,music,Franch,NGO
Y2161,Y2161,91949,90,70718,news,English,NGO
Y2162,Y2162,208940,85,117320,news,English,Goverment
Y2163,Y2163,135938,69,149881,food,English,Individual
Y2164,Y2164,189092,77,36100,food,Russia,NGO
Y2165,Y2165,79309,27,84802,food,English,Goverment
Y2166,Y2166,78222,22,95893,food,English,Individual
Y2167,Y2167,105931,61,101425,food,English,Corperate
Y2168,Y2168,96436,63,13932,travel,English,Goverment
Y2169,Y2169,91914,97,103136,music,English,Goverment
Y2170,Y2170,99539,24,66080,news,Spanish,Goverment
Y2171,Y2171,35396,6,814,food,English,NGO
Y2172,Y2172,42262,53,13615,travel,English,Corperate
Y2173,Y2173,139205,16,138007,food,English,Individual
Y2174,Y2174,76583,53,60202,gaming,English,Corperate
Y2175,Y2175,123145,55,80524,travel,English,Individual
Y2176,Y2176,158257,62,39089,news,English,NGO
Y2177,Y2177,121664,10,3320,gaming,English,Individual
Y2178,Y2178,53575,65,5564,music,English,Individual
Y2179,Y2179,144487,10,185072,news,Japanese,Goverment
Y2180,Y2180,102117,90,132986,news,Russia,NGO
Y2181,Y2181,118781,4,61045,news,Franch,Corperate
Y2182,Y2182,123152,67,168319,gaming,English,NGO
Y2183,Y2183,190749,2,202051,travel,Franch,Individual
Y2184,Y2184,82800,22,82918,gaming,Russia,NGO
Y2185,Y2185,141241,39,31975,news,Franch,NGO
Y2186,Y2186,73511,46,92046,gaming,English,Corperate
Y2187,Y2187,113877,82,146200,gaming,Franch,Individual
Y2188,Y2188,109493,9,151646,food,Franch,Corperate
Y2189,Y2189,82800,15,36453,food,English,Individual
Y2190,Y2190,123261,48,155725,music,Spanish,Individual
Y2191,Y2191,156360,84,221022,gaming,Russia,Goverment
Y2192,Y2192,49151,63,8791,news,Japanese,Goverment
Y2193,Y2193,135598,5,122289,music,English,Goverment
Y2194,Y2194,152133,94,171309,music,Chinese,Individual
Y2195,Y2195,49981,33,58516,music,Chinese,NGO
Y2196,Y2196,126971,90,121555,travel,English,Individual
Y2197,Y2197,110341,90,10637,gaming,English,Corperate
Y2198,Y2198,95078,74,8418,music,Japanese,Individual
Y2199,Y2199,56073,51,57300,music,English,Individual
Y2200,Y2200,141615,49,94289,food,Franch,NGO
Y2201,Y2201,196555,17,24748,gaming,English,Individual
Y2202,Y2202,50250,93,65432,gaming,Russia,NGO
Y2203,Y2203,79933,26,39936,news,Spanish,NGO
Y2204,Y2204,99055,3,88224,food,English,Individual
Y2205,Y2205,226223,57,222485,news,Russia,Individual
Y2206,Y2206,1,60,847,news,Franch,Goverment
Y2207,Y2207,95506,42,29035,food,Chinese,Individual
Y2208,Y2208,144097,83,210403,news,Japanese,Individual
Y2209,Y2209,30527,77,18943,music,English,Corperate
Y2210,Y2210,21488,77,31513,food,Russia,Individual
Y2211,Y2211,107881,77,17174,travel,English,NGO
Y2212,Y2212,1,17,0,music,English,Individual
Y2213,Y2213,157849,44,24870,gaming,Franch,Goverment
Y2214,Y2214,88241,32,131924,music,Spanish,NGO
Y2215,Y2215,151477,88,161380,food,English,Corperate
Y2216,Y2216,73166,50,89015,music,Franch,Individual
Y2217,Y2217,139478,5,70248,travel,English,Individual
Y2218,Y2218,78302,49,31733,music,Chinese,Individual
Y2219,Y2219,138808,91,5468,gaming,English,NGO
Y2220,Y2220,114775,19,96841,music,English,Corperate
Y2221,Y2221,129348,42,124814,travel,English,Individual
Y2222,Y2222,44740,24,22907,music,English,Corperate
Y2223,Y2223,111472,24,12031,gaming,English,NGO
Y2224,Y2224,50761,35,37125,gaming,English,Goverment
Y2225,Y2225,51272,56,66279,food,Spanish,Corperate
Y2226,Y2226,133286,60,60354,gaming,Chinese,Goverment
Y2227,Y2227,60762,7,48396,news,Chinese,NGO
Y2228,Y2228,144658,17,216686,travel,English,Corperate
Y2229,Y2229,111424,77,51741,travel,Franch,NGO
Y2230,Y2230,152055,50,221346,gaming,English,NGO
Y2231,Y2231,1,86,71,music,English,Corperate
Y2232,Y2232,79257,2,40241,food,English,NGO
Y2233,Y2233,142777,57,27382,food,English,Individual
Y2234,Y2234,66212,60,61372,gaming,English,Corperate
Y2235,Y2235,79631,86,31483,music,Spanish,Individual
Y2236,Y2236,158783,88,151178,music,English,Individual
Y2237,Y2237,87696,92,26316,news,English,Individual
Y2238,Y2238,131128,51,174115,food,Spanish,Individual
Y2239,Y2239,92859,13,66125,music,English,Goverment
Y2240,Y2240,138117,8,167009,travel,Franch,NGO
Y2241,Y2241,131698,42,48733,travel,English,Individual
Y2242,Y2242,28186,74,26622,music,English,NGO
Y2243,Y2243,97391,71,135483,music,English,Individual
Y2244,Y2244,107981,67,93747,news,Russia,NGO
Y2245,Y2245,53390,57,9356,news,Russia,Individual
Y2246,Y2246,118470,60,168398,music,Japanese,Individual
Y2247,Y2247,2364,9,3259,news,English,NGO
Y2248,Y2248,91941,61,26863,food,English,Individual
Y2249,Y2249,108809,63,71430,food,Spanish,Individual
Y2250,Y2250,161385,93,128304,travel,English,Individual
Y2251,Y2251,151837,90,43840,gaming,Japanese,Goverment
Y2252,Y2252,36709,43,11350,food,English,Individual
Y2253,Y2253,96308,32,136663,music,Chinese,NGO
Y2254,Y2254,119252,41,48997,gaming,English,Individual
Y2255,Y2255,119526,48,84618,gaming,Russia,Corperate
Y2256,Y2256,25437,71,11734,gaming,English,NGO
Y2257,Y2257,180829,86,161499,news,Spanish,NGO
Y2258,Y2258,1,49,772,food,English,Goverment
Y2259,Y2259,102395,87,91804,food,English,Individual
Y2260,Y2260,116745,99,101029,gaming,Japanese,Individual
Y2261,Y2261,52960,16,52463,food,Chinese,Goverment
Y2262,Y2262,94751,55,92378,music,Chinese,Goverment
Y2263,Y2263,142759,65,187308,music,Japanese,Corperate
Y2264,Y2264,123411,4,42782,gaming,Japanese,Goverment
Y2265,Y2265,57920,57,60450,travel,Chinese,Individual
Y2266,Y2266,97719,68,91028,food,Chinese,Goverment
Y2267,Y2267,130891,46,8551,food,English,Corperate
Y2268,Y2268,64301,61,47708,music,English,Individual
Y2269,Y2269,88273,67,39876,music,English,Individual
Y2270,Y2270,137253,61,54643,news,Japanese,Individual
Y2271,Y2271,182077,92,20543,news,Chinese,Corperate
Y2272,Y2272,64656,39,76505,travel,English,Corperate
Y2273,Y2273,80773,25,112093,music,English,Individual
Y2274,Y2274,82258,45,74257,gaming,English,Individual
Y2275,Y2275,123611,52,135231,news,Japanese,Individual
Y2276,Y2276,148549,55,153430,food,Japanese,NGO
Y2277,Y2277,139733,64,27122,gaming,Russia,Goverment
Y2278,Y2278,216564,59,63528,food,Russia,NGO
Y2279,Y2279,130897,27,100310,news,English,Individual
Y2280,Y2280,138683,69,57404,news,Spanish,NGO
Y2281,Y2281,38804,79,33830,food,Spanish,NGO
Y2282,Y2282,105325,58,8825,travel,English,NGO
Y2283,Y2283,44481,44,64019,travel,Russia,Individual
Y2284,Y2284,135989,96,100092,gaming,Russia,Goverment
Y2285,Y2285,186444,14,2760,news,Russia,Goverment
Y2286,Y2286,112198,48,75678,travel,English,Individual
Y2287,Y2287,32979,43,17860,gaming,English,Individual
Y2288,Y2288,122605,1,43525,gaming,English,NGO
Y2289,Y2289,163736,47,147268,music,English,Individual
Y2290,Y2290,58168,36,69679,food,English,Individual
Y2291,Y2291,74198,44,4891,music,English,Corperate
Y2292,Y2292,95318,24,124635,gaming,Japanese,NGO
Y2293,Y2293,89367,39,27474,music,Spanish,Individual
Y2294,Y2294,180339,26,201023,food,English,Goverment
Y2295,Y2295,47277,50,39325,travel,English,Individual
Y2296,Y2296,81938,96,68478,food,Franch,NGO
Y2297,Y2297,90358,44,120888,travel,English,NGO
Y2298,Y2298,96335,51,137112,food,Chinese,Individual
Y2299,Y2299,43419,92,10759,gaming,Russia,NGO
Y2300,Y2300,140682,67,170890,music,Chinese,Individual
Y2301,Y2301,147176,81,37119,food,Franch,Individual
Y2302,Y2302,109424,28,103365,news,Japanese,Individual
Y2303,Y2303,103635,86,112680,travel,English,Goverment
Y2304,Y2304,55330,63,81532,travel,Russia,NGO
Y2305,Y2305,82766,59,41558,music,English,Individual
Y2306,Y2306,16215,95,12755,travel,Chinese,NGO
Y2307,Y2307,79323,9,10525,music,Japanese,NGO
Y2308,Y2308,51952,25,53481,gaming,English,Goverment
Y2309,Y2309,71273,72,62964,travel,Chinese,NGO
Y2310,Y2310,59919,37,70590,food,Russia,NGO
Y2311,Y2311,59502,73,20323,gaming,English,Corperate
Y2312,Y2312,58191,97,58541,music,English,Corperate
Y2313,Y2313,83369,43,74087,travel,Spanish,Individual
Y2314,Y2314,72919,4,997,travel,English,NGO
Y2315,Y2315,172139,1,239713,food,English,Goverment
Y2316,Y2316,101652,25,47189,gaming,English,Goverment
Y2317,Y2317,74141,54,6254,gaming,Spanish,NGO
Y2318,Y2318,156998,50,164155,travel,English,NGO
Y2319,Y2319,153003,22,110046,gaming,English,Individual
Y2320,Y2320,69830,66,34366,travel,English,Corperate
Y2321,Y2321,52549,68,64775,food,English,NGO
Y2322,Y2322,110855,11,164135,news,Japanese,Individual
Y2323,Y2323,55206,7,81221,travel,Spanish,Individual
Y2324,Y2324,176925,91,189116,music,English,Corperate
Y2325,Y2325,89782,24,31423,travel,Spanish,Corperate
Y2326,Y2326,119781,96,165391,music,Franch,Individual
Y2327,Y2327,44958,30,16447,gaming,Franch,NGO
Y2328,Y2328,161754,41,184125,travel,Russia,Corperate
Y2329,Y2329,84298,39,29337,music,English,Individual
Y2330,Y2330,44198,30,14170,news,English,Individual
Y2331,Y2331,120078,87,143648,music,English,Individual
Y2332,Y2332,106133,24,4587,news,Chinese,NGO
Y2333,Y2333,44981,72,15240,gaming,English,Individual
Y2334,Y2334,64380,15,69076,news,Franch,NGO
Y2335,Y2335,128807,24,94304,gaming,Russia,NGO
Y2336,Y2336,28349,40,32940,gaming,Japanese,Individual
Y2337,Y2337,121599,90,134105,music,Chinese,Corperate
Y2338,Y2338,84032,34,83962,news,Japanese,NGO
Y2339,Y2339,18895,30,23404,news,Chinese,Individual
Y2340,Y2340,80922,83,83359,music,English,NGO
Y2341,Y2341,150090,4,10488,news,English,Goverment
Y2342,Y2342,128263,26,659,news,Japanese,Individual
Y2343,Y2343,154501,2,178881,gaming,Chinese,NGO
Y2344,Y2344,106567,78,10369,food,English,Corperate
Y2345,Y2345,114783,34,91373,food,Franch,NGO
Y2346,Y2346,131050,23,148610,gaming,Chinese,Individual
Y2347,Y2347,32256,83,46220,music,English,Individual
Y2348,Y2348,36848,84,39850,food,Spanish,Goverment
Y2349,Y2349,57960,66,68611,music,English,Individual
Y2350,Y2350,110752,82,154392,news,English,Corperate
Y2351,Y2351,53564,99,13978,news,Franch,Goverment
Y2352,Y2352,125776,55,180619,music,Japanese,Individual
Y2353,Y2353,102712,51,107277,food,English,NGO
Y2354,Y2354,102388,96,53445,travel,English,Corperate
Y2355,Y2355,90715,49,14343,music,English,Individual
Y2356,Y2356,121454,74,65005,gaming,English,Individual
Y2357,Y2357,42218,70,14823,food,English,Individual
Y2358,Y2358,94735,57,26942,news,Japanese,Goverment
Y2359,Y2359,85402,77,27357,news,Japanese,Corperate
Y2360,Y2360,41528,85,55504,travel,English,Individual
Y2361,Y2361,104867,39,93628,news,Chinese,NGO
Y2362,Y2362,120745,96,65341,travel,Russia,NGO
Y2363,Y2363,1,96,735,food,Chinese,Individual
Y2364,Y2364,49799,48,54898,food,Franch,Individual
Y2365,Y2365,127563,78,3707,news,Chinese,NGO
Y2366,Y2366,61838,66,83368,gaming,Spanish,Individual
Y2367,Y2367,66689,19,60974,news,Spanish,Individual
Y2368,Y2368,99779,11,82241,news,Japanese,Goverment
Y2369,Y2369,1,66,0,news,Japanese,Individual
Y2370,Y2370,96562,45,68520,music,Chinese,Goverment
Y2371,Y2371,55072,57,52554,news,English,NGO
Y2372,Y2372,133118,76,5718,news,English,Corperate
Y2373,Y2373,131175,24,175800,travel,Japanese,NGO
Y2374,Y2374,176238,25,242371,music,Japanese,Corperate
Y2375,Y2375,102307,32,22282,music,English,Individual
Y2376,Y2376,1,92,182,gaming,Chinese,Individual
Y2377,Y2377,75181,46,102772,news,English,Individual
Y2378,Y2378,38952,5,55393,travel,Franch,Individual
Y2379,Y2379,154763,72,184888,travel,English,Corperate
Y2380,Y2380,77967,71,95711,gaming,English,Individual
Y2381,Y2381,133446,81,197355,food,Spanish,NGO
Y2382,Y2382,157909,7,104178,travel,English,Individual
Y2383,Y2383,134170,49,90168,news,English,Individual
Y2384,Y2384,22503,33,28544,news,Spanish,Individual
Y2385,Y2385,103488,71,137345,news,Japanese,NGO
Y2386,Y2386,29621,9,33774,news,English,Corperate
Y2387,Y2387,56517,3,63764,gaming,English,Individual
Y2388,Y2388,86030,41,121491,news,English,Goverment
Y2389,Y2389,156072,49,134753,news,Spanish,Goverment
Y2390,Y2390,48843,77,9920,food,Russia,Individual
Y2391,Y2391,110792,51,43226,music,Chinese,NGO
Y2392,Y2392,114581,52,67083,news,English,Goverment
Y2393,Y2393,143792,38,216271,gaming,Russia,Individual
Y2394,Y2394,82709,97,38925,news,English,Individual
Y2395,Y2395,99774,4,9897,food,English,NGO
Y2396,Y2396,48712,36,40792,gaming,English,NGO
Y2397,Y2397,80375,56,52816,food,Franch,Individual
Y2398,Y2398,47553,43,40665,gaming,Russia,NGO
Y2399,Y2399,142017,35,92831,news,English,Individual
Y2400,Y2400,107948,12,98435,news,English,NGO
Y2401,Y2401,96393,41,69935,travel,Russia,Individual
Y2402,Y2402,123644,29,122620,travel,English,Individual
Y2403,Y2403,63605,53,48725,food,English,Individual
Y2404,Y2404,95000,65,64390,travel,Russia,NGO
Y2405,Y2405,128005,16,145024,travel,Russia,Goverment
Y2406,Y2406,149938,18,145298,music,Russia,Individual
Y2407,Y2407,77192,57,114784,music,English,Goverment
Y2408,Y2408,68020,49,55345,travel,Russia,Goverment
Y2409,Y2409,83014,88,17714,travel,Japanese,Corperate
Y2410,Y2410,110844,2,75322,news,Franch,Goverment
Y2411,Y2411,89254,75,32574,gaming,Japanese,Corperate
Y2412,Y2412,97105,58,67468,food,Russia,NGO
Y2413,Y2413,48977,40,59295,travel,Russia,Individual
Y2414,Y2414,72414,68,5384,music,Russia,NGO
Y2415,Y2415,104106,21,78906,gaming,English,Individual
Y2416,Y2416,111146,84,134946,food,Spanish,Goverment
Y2417,Y2417,141011,5,207126,food,Franch,Individual
Y2418,Y2418,78843,92,22955,food,Franch,NGO
Y2419,Y2419,125790,81,30682,music,English,Individual
Y2420,Y2420,20282,12,4721,travel,English,Individual
Y2421,Y2421,164312,95,104380,gaming,Spanish,NGO
Y2422,Y2422,113745,2,145127,food,English,Individual
Y2423,Y2423,99751,41,72673,travel,English,Goverment
Y2424,Y2424,74556,61,69363,gaming,English,Individual
Y2425,Y2425,87145,7,49034,news,English,Goverment
Y2426,Y2426,159606,17,127709,music,Franch,Individual
Y2427,Y2427,125924,99,118848,music,Chinese,NGO
Y2428,Y2428,68378,82,69384,news,English,Individual
Y2429,Y2429,128525,1,64548,music,English,Individual
Y2430,Y2430,100329,44,99340,music,Japanese,Individual
Y2431,Y2431,125528,3,169402,music,English,Goverment
Y2432,Y2432,109148,43,95,gaming,English,Individual
Y2433,Y2433,86827,53,44985,music,English,NGO
Y2434,Y2434,52126,17,60489,travel,English,Corperate
Y2435,Y2435,168093,57,105305,food,English,Goverment
Y2436,Y2436,91924,69,32962,music,Chinese,Individual
Y2437,Y2437,105894,63,10463,music,Spanish,NGO
Y2438,Y2438,195313,40,119801,travel,Franch,NGO
Y2439,Y2439,9662,6,2814,travel,Franch,Individual
Y2440,Y2440,87271,41,14730,news,English,Goverment
Y2441,Y2441,91288,26,126140,gaming,Franch,NGO
Y2442,Y2442,83799,29,27425,gaming,Russia,Goverment
Y2443,Y2443,180820,37,259189,music,Franch,Goverment
Y2444,Y2444,47112,91,56060,news,English,NGO
Y2445,Y2445,125146,57,98117,music,Franch,Individual
Y2446,Y2446,155006,32,50985,gaming,English,Goverment
Y2447,Y2447,1,37,0,food,English,NGO
Y2448,Y2448,24764,71,25612,travel,Chinese,Corperate
Y2449,Y2449,114506,24,66611,music,Russia,NGO
Y2450,Y2450,80976,39,54851,travel,English,Individual
Y2451,Y2451,86159,86,35833,music,Japanese,Goverment
Y2452,Y2452,109212,16,162532,gaming,English,Individual
Y2453,Y2453,94218,36,24056,gaming,Franch,Individual
Y2454,Y2454,126581,80,65370,food,English,Individual
Y2455,Y2455,147152,7,128372,news,English,NGO
Y2456,Y2456,102300,84,70996,travel,Russia,Corperate
Y2457,Y2457,159081,42,47104,travel,English,Individual
Y2458,Y2458,61059,58,9014,music,Russia,NGO
Y2459,Y2459,73568,56,92713,gaming,English,NGO
Y2460,Y2460,266001,53,68362,news,English,Goverment
Y2461,Y2461,116068,44,171720,travel,English,Goverment
Y2462,Y2462,97680,70,29021,travel,English,Individual
Y2463,Y2463,122110,21,23533,travel,English,NGO
Y2464,Y2464,152396,67,143896,food,English,Individual
Y2465,Y2465,171187,76,20513,travel,English,Individual
Y2466,Y2466,116659,92,172434,travel,Chinese,Individual
Y2467,Y2467,84064,40,48104,music,Franch,Individual
Y2468,Y2468,65985,23,35349,travel,English,Individual
Y2469,Y2469,127362,30,62417,travel,English,Goverment
Y2470,Y2470,82687,85,18740,gaming,English,NGO
Y2471,Y2471,107532,71,155143,food,Japanese,Individual
Y2472,Y2472,112498,78,26359,food,English,Individual
Y2473,Y2473,110323,37,58398,gaming,English,NGO
Y2474,Y2474,76633,4,112989,music,Spanish,Individual
Y2475,Y2475,84367,88,70719,news,Chinese,Individual
Y2476,Y2476,57301,60,70951,gaming,English,NGO
Y2477,Y2477,161380,26,126896,travel,English,Goverment
Y2478,Y2478,105922,93,123147,news,English,NGO
Y2479,Y2479,83477,87,75974,travel,English,Individual
Y2480,Y2480,108099,91,32401,news,English,Goverment
Y2481,Y2481,133719,53,104567,news,Japanese,NGO
Y2482,Y2482,96932,63,119352,music,English,Individual
Y2483,Y2483,102891,49,35072,travel,Russia,Individual
Y2484,Y2484,100730,87,31532,music,English,Individual
Y2485,Y2485,65933,53,95045,food,Russia,Individual
Y2486,Y2486,119268,70,94347,food,Russia,NGO
Y2487,Y2487,40370,33,18592,news,English,Individual
Y2488,Y2488,129514,1,85497,travel,Japanese,Individual
Y2489,Y2489,128125,48,33606,food,English,Goverment
Y2490,Y2490,123997,92,122032,food,English,Individual
Y2491,Y2491,114055,78,160202,gaming,English,Individual
Y2492,Y2492,138769,60,145416,food,Spanish,Goverment
Y2493,Y2493,156670,71,97052,gaming,English,Individual
Y2494,Y2494,5559,18,3931,news,Franch,Individual
Y2495,Y2495,90289,98,83611,food,English,Goverment
Y2496,Y2496,91321,73,56011,music,Spanish,NGO
Y2497,Y2497,82102,75,120070,news,Chinese,Individual
Y2498,Y2498,71899,2,40613,food,Japanese,NGO
Y2499,Y2499,119109,47,144175,music,English,Individual
Y2500,Y2500,133416,35,167773,music,English,Individual
Y2501,Y2501,140410,41,154207,travel,English,Individual
Y2502,Y2502,31363,90,38903,gaming,Japanese,Individual
Y2503,Y2503,115278,99,117485,music,Japanese,Goverment
Y2504,Y2504,125801,22,21388,food,Spanish,Individual
Y2505,Y2505,109369,89,129368,gaming,Spanish,Individual
Y2506,Y2506,136327,53,82937,news,English,NGO
Y2507,Y2507,1,68,0,travel,Spanish,Corperate
Y2508,Y2508,166721,14,55053,music,English,Individual
Y2509,Y2509,142131,15,107200,travel,English,Individual
Y2510,Y2510,168955,44,24562,travel,English,Individual
Y2511,Y2511,120453,67,27629,music,Russia,NGO
Y2512,Y2512,85850,98,28313,news,Chinese,Individual
Y2513,Y2513,61766,86,55699,gaming,English,NGO
Y2514,Y2514,122565,72,59617,food,English,NGO
Y2515,Y2515,146052,92,178682,music,English,Individual
Y2516,Y2516,170238,65,12799,news,Spanish,Individual
Y2517,Y2517,118202,68,7713,music,Japanese,NGO
Y2518,Y2518,44431,80,18042,gaming,Chinese,Individual
